"XDR_FIELD_NAME","XDR_DR_TYPE","XDR_FIELD_TYPE","XDR_DEFAULT_VALUE","XDR_FIELD_FORMAT","XDR_FIELD_INDEX"
TRADEMARK,dr_addvalue,4,,,1
SERVICE_ID,dr_addvalue,4,,,2
DR_TYPE,dr_addvalue,4,,,3
BILL_MONTH,dr_addvalue,4,,,4
VALID_RATE_PROD_ID,dr_addvalue,4,,,5
RATE_PROD_ID,dr_addvalue,4,,,6
PRODUCT_ID,dr_addvalue,4,,,7
PROMOTION_PRODS,dr_addvalue,4,,,8
PLAN_ID,dr_addvalue,4,,,9
OPP_RATE_PROD_ID,dr_addvalue,4,,,10
CUST_ID,dr_addvalue,4,,,11
ACC_ID,dr_addvalue,4,,,12
USER_ID,dr_addvalue,4,,,13
IMSI,dr_addvalue,4,,,14
USER_NUMBER,dr_addvalue,4,,,15
BILL_INDICATE,dr_addvalue,4,,,16
OPP_NUMBER,dr_addvalue,4,,,17
OPP_USER_NUMBER,dr_addvalue,4,,,18
OPP_PLAN_ID,dr_addvalue,4,,,19
A_NUMBER,dr_addvalue,4,,,20
START_TIME,dr_addvalue,5,,,21
DURATION,dr_addvalue,4,,,22
RATING_RES,dr_addvalue,4,,,23
CALL_TYPE,dr_addvalue,4,,,24
ROAM_TYPE,dr_addvalue,4,,,25
OPP_ACCESS_TYPE,dr_addvalue,4,,,26
OPP_NUMBER_TYPE,dr_addvalue,4,,,27
SP_RELA_TYPE,dr_addvalue,4,,,28
HPLMN1,dr_addvalue,4,,,29
HPLMN2,dr_addvalue,4,,,30
HPLMN3,dr_addvalue,4,,,31
VPLMN1,dr_addvalue,4,,,32
VPLMN2,dr_addvalue,4,,,33
VPLMN3,dr_addvalue,4,,,34
RATING_FLAG,dr_addvalue,4,,,35
ITEM_CODE1,dr_addvalue,4,,,36
CHARGE1,dr_addvalue,4,,,37
CHARGE1_DISC,dr_addvalue,4,,,38
ITEM_CODE2,dr_addvalue,4,,,39
CHARGE2,dr_addvalue,4,,,40
CHARGE2_DISC,dr_addvalue,4,,,41
ITEM_CODE3,dr_addvalue,4,,,42
CHARGE3,dr_addvalue,4,,,43
CHARGE3_DISC,dr_addvalue,4,,,44
ITEM_CODE4,dr_addvalue,4,,,45
CHARGE4,dr_addvalue,4,,,46
CHARGE4_DISC,dr_addvalue,4,,,47
FREE_RES_VAL,dr_addvalue,4,,,48
ADDUP_RES_VAL,dr_addvalue,4,,,49
STD_UNIT,dr_addvalue,4,,,50
TOLL_STD_UNIT,dr_addvalue,4,,,51
ORI_BASIC_CHARGE,dr_addvalue,4,,,52
ORI_TOLL_CHARGE,dr_addvalue,4,,,53
ORI_OTHER_CHARGE,dr_addvalue,4,,,54
STD_BASIC_CHARGE,dr_addvalue,4,,,55
STD_TOLL_CHARGE,dr_addvalue,4,,,56
STD_OTHER_CHARGE,dr_addvalue,4,,,57
ADDUP_RES,dr_addvalue,4,,,58
OPP_CONDITION_ID,dr_addvalue,4,,,59
CONDITION_ID,dr_addvalue,4,,,60
NETCALL_FLAG,dr_addvalue,4,,,61
ESN,dr_addvalue,4,,,62
SEQUENCE_NO,dr_addvalue,4,,,63
MODIFICATION_IND,dr_addvalue,4,,,64
OPP_ROAM_AREACODE,dr_addvalue,4,,,65
OPP_HOME_AREACODE,dr_addvalue,4,,,66
TOLL_TYPE,dr_addvalue,4,,,67
TOLL_TYPE2,dr_addvalue,4,,,68
