XDR_FIELD_NAME,XDR_DR_TYPE,XDR_FIELD_TYPE,XDR_FIELD_INDEX
"SDS[0-9]{{.*?}},dr_[_\w]+,(dr_[_\w]+);(.*)}}",regstr,0,0
ACCESS_POINT_NAME,dr_up_iismp,4,33
ACCOUNT_BLANCE,dr_rent,1,65
ACCOUNT_BLANCE,dr_wlan,4,84
ACCTID,dr_lte_flow,4,6
ACCTID,dr_mvno_flow,4,7
ACCT_BALANCE_ID,dr_lte_acctbal,4,2
ACCT_BALANCE_ID,dr_lte_ballog,4,2
ACCT_BALANCE_ID,dr_lte_balpayout,4,3
ACCT_BALANCE_ID,dr_lte_balsrc,4,3
ACCT_BASE,dr_info_sd,4,15
ACCT_CODE,dr_yd_tz,4,16
ACCT_CODE,dr_yd_zd,4,16
ACCT_DATE,dr_lte_dbi,4,7
ACCT_DATE,dr_lte_mbi,4,7
ACCT_DATE,dr_mvno_dbi,4,8
ACCT_DATE,dr_mvno_mbi,4,8
ACCT_ID,dr_apportion_zd,4,2
ACCT_ID,dr_bcbp_bill,1,3
ACCT_ID,dr_bill_mobl,4,14
ACCT_ID,dr_bill_pstn,4,14
ACCT_ID,dr_fix_mbi,4,5
ACCT_ID,dr_invoice_zd,4,2
ACCT_ID,dr_iot_bill,4,2
ACCT_ID,dr_iot_bill_day,4,2
ACCT_ID,dr_iot_bill_up,4,2
ACCT_ID,dr_iot_info,4,2
ACCT_ID,dr_iot_info_up,4,2
ACCT_ID,dr_ivpn,1,14
ACCT_ID,dr_lte_acctbal,4,4
ACCT_ID,dr_lte_acctitem,4,7
ACCT_ID,dr_lte_adjust,4,5
ACCT_ID,dr_lte_badbill,4,6
ACCT_ID,dr_lte_dbi,4,3
ACCT_ID,dr_lte_due,4,6
ACCT_ID,dr_lte_mbi,4,3
ACCT_ID,dr_lte_pay,4,8
ACCT_ID,dr_mvno_dbi,4,4
ACCT_ID,dr_mvno_mbi,4,4
ACCT_ID,dr_oth_mbi,4,5
ACCT_ID,dr_rent_file,1,3
ACCT_ID,dr_xz,4,2
ACCT_ID,dr_zd,4,32
ACCT_ITEM_ID,dr_lte_acctitem,4,2
ACCT_ITEM_LIST,dr_oth_mbi,4,13
ACCT_ITEM_NAME,dr_oth_mbi,4,15
ACCT_ITEM_TP_ID,dr_iot_bill,4,4
ACCT_ITEM_TP_ID,dr_iot_bill_day,4,4
ACCT_ITEM_TP_ID,dr_iot_bill_up,4,4
ACCT_ITEM_TP_ID,dr_iot_info,4,4
ACCT_ITEM_TP_ID,dr_iot_info_up,4,4
ACCT_ITEM_TYPE_A,dr_mvno_cs,4,31
ACCT_ITEM_TYPE_A,dr_mvno_ismp,4,12
ACCT_ITEM_TYPE_A,dr_mvno_ps,4,20
ACCT_ITEM_TYPE_A,dr_mvno_sms,4,11
ACCT_ITEM_TYPE_B,dr_mvno_cs,4,33
ACCT_ITEM_TYPE_B,dr_mvno_ps,4,22
ACCT_ITEM_TYPE_C,dr_mvno_cs,4,35
ACCT_ITEM_TYPE_ID,dr_apportion_zd,4,7
ACCT_ITEM_TYPE_ID,dr_bcbp_bill,4,19
ACCT_ITEM_TYPE_ID,dr_bill_mobl,4,9
ACCT_ITEM_TYPE_ID,dr_bill_pstn,4,9
ACCT_ITEM_TYPE_ID,dr_fix_mbi,4,13
ACCT_ITEM_TYPE_ID,dr_ivpn,1,9
ACCT_ITEM_TYPE_ID,dr_lte_acctitem,4,3
ACCT_ITEM_TYPE_ID,dr_lte_adjust,4,7
ACCT_ITEM_TYPE_ID,dr_lte_badbill,4,8
ACCT_ITEM_TYPE_ID,dr_lte_balpayout,4,13
ACCT_ITEM_TYPE_ID,dr_lte_dbi,4,10
ACCT_ITEM_TYPE_ID,dr_lte_mbi,4,10
ACCT_ITEM_TYPE_ID,dr_mvno_dbi,4,11
ACCT_ITEM_TYPE_ID,dr_mvno_mbi,4,11
ACCT_ITEM_TYPE_ID,dr_oth_mbi,4,14
ACCT_ITEM_TYPE_ID,dr_relv,4,4
ACCT_ITEM_TYPE_ID,dr_zd,4,27
ACCT_ITEM_TYPE_ID_PROV,dr_relv,4,1
ACCT_ITEM_TYPE_ID_PROVINCE,dr_bill_mobl,4,15
ACCT_ITEM_TYPE_ID_PROVINCE,dr_bill_pstn,4,15
ACCT_ITEM_TYPE_ID_PROVINCE,dr_zd,4,33
ACCT_ITEM_TYPE_ID_TAX,dr_bill_mobl,4,21
ACCT_ITEM_TYPE_ID_TAX,dr_bill_pstn,4,21
ACCT_ITEM_TYPE_ID_TAX,dr_zd,4,44
ACCT_ITEM_TYPE_NAME_PROV,dr_relv,4,2
ACC_DURATION,dr_highroam,2,10
ACC_FEE,dr_highroam,2,13
ACC_ID,dr_cs,2,14
ACC_ID,dr_cs_army,2,14
ACC_ID,dr_cs_int,2,14
ACC_ID,dr_ext,2,10
ACC_ID,dr_ismp,2,12
ACC_ID,dr_ismp1,2,12
ACC_ID,dr_ismp_int,2,12
ACC_ID,dr_mms,2,12
ACC_ID,dr_pre_eop_cs,2,14
ACC_ID,dr_pre_eop_ismp,2,12
ACC_ID,dr_pre_eop_ps,2,12
ACC_ID,dr_pre_eop_sms,2,12
ACC_ID,dr_ps,2,12
ACC_ID,dr_ps_bak,2,12
ACC_ID,dr_ps_int,2,12
ACC_ID,dr_ps_to_other,2,12
ACC_ID,dr_rent,1,9
ACC_ID,dr_sms,2,12
ACC_ID,dr_sms_int,2,12
ACC_ID,dr_vpmn,2,14
ACC_ID,dr_wlan,2,12
ACC_ID,dr_ybtj,4,5
ACC_ITEM_CODE1,dr_cs,1,120
ACC_ITEM_CODE1,dr_cs_army,1,120
ACC_ITEM_CODE1,dr_cs_int,1,120
ACC_ITEM_CODE1,dr_ismp,1,108
ACC_ITEM_CODE1,dr_ismp1,1,108
ACC_ITEM_CODE1,dr_ismp_int,1,108
ACC_ITEM_CODE1,dr_pre_eop_cs,1,120
ACC_ITEM_CODE1,dr_pre_eop_ismp,1,108
ACC_ITEM_CODE1,dr_pre_eop_ps,1,152
ACC_ITEM_CODE1,dr_pre_eop_sms,1,112
ACC_ITEM_CODE1,dr_ps,1,152
ACC_ITEM_CODE1,dr_ps_bak,1,152
ACC_ITEM_CODE1,dr_ps_int,1,152
