XDR_FIELD_NAME,XDR_DR_TYPE,XDR_FIELD_TYPE,XDR_FIELD_INDEX
"(obbs:S:1.3:{{.*?}},)(dr_[_\w]+)(;)(.*)(}})",regstr,5|2|4,0
"(SDS[0-9]{{.*?}},dr_[_\w]+,)(dr_[_\w]+)(;)(.*)(}})",regstr,5|2|4,0
,comment,0,0
该文件必须存在。,comment,0,0
XDR_DR_TYPE枚举：regstr、comment以及正常话单类型。,comment,0,0
regstr：话单匹配正则表达式，获取匹配的xdr内容等，一般使用括号分组给出。,comment,0,0
comment：说明内容，程序不处理。,comment,0,0
,comment,0,0
XDR_FIELD_TYPE：指示正则分组总数、dr_type序号、xdr序号,comment,0,0
"形式为：总数|dr_type序号|xdr序号
总数从0开始，序号从1开始，dr_type序号为0时，表示不包含，xdr序号不能为0",comment,0,0
总数指的是表达式里的括号对数，当总数为0或1时，直接以整个匹配结果或第1组为xdr内容，不参考后面两个值，填0即可,comment,0,0
,comment,0,0
举例如下,comment,0,0
"正则：(obbs:S:1.3:{{.*?}},)(dr_[_\w]+)(;)(.*)(}})",comment,0,0
指示：5|2|4,comment,0,0
通过正则括号分组，总数为5，dr_type为第2组，xdr内容为di4组,comment,0,0
,comment,0,0
"注意：
强烈建议使用的正则表达式都做分组，避免批量修改文件时缺少内容。
如果没有一条正则表达式可以匹配，则使用整行内容作为xdr内容。
正则表达式匹配顺序为从上到下。",comment,0,0
